Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1901,1,-0.239,-0.31,-0.295,-0.325
1901,2,-0.355,-0.31,-0.295,-0.324
1901,4,-0.272,-0.309,-0.295,-0.324
1901,5,-0.292,-0.309,-0.294,-0.323
1901,6,-0.334,-0.309,-0.294,-0.323
1901,7,-0.338,-0.308,-0.294,-0.323
1901,8,-0.327,-0.308,-0.293,-0.323
1901,9,-0.22,-0.308,-0.293,-0.322
1901,10,-0.233,-0.307,-0.293,-0.322
1901,11,-0.259,-0.307,-0.293,-0.322
1901,12,-0.325,-0.307,-0.292,-0.321
1902,1,-0.323,-0.307,-0.292,-0.321
1902,2,-0.321,-0.306,-0.292,-0.321
1902,3,-0.328,-0.306,-0.291,-0.32
1902,4,-0.352,-0.306,-0.291,-0.32
1902,5,-0.307,-0.305,-0.291,-0.32
1902,6,-0.313,-0.305,-0.291,-0.319
1902,7,-0.334,-0.305,-0.29,-0.319
1902,8,-0.25,-0.304,-0.29,-0.319
1902,9,-0.294,-0.304,-0.29,-0.319
1902,10,-0.318,-0.304,-0.29,-0.318
1902,11,-0.204,-0.304,-0.289,-0.318
1902,12,-0.254,-0.303,-0.289,-0.318
1903,1,-0.299,-0.303,-0.289,-0.317
1903,2,-0.327,-0.303,-0.288,-0.317
1903,3,-0.186,-0.302,-0.288,-0.317
1903,4,-0.204,-0.302,-0.288,-0.316
1903,5,-0.18,-0.302,-0.288,-0.316
1903,6,-0.176,-0.302,-0.287,-0.316
1903,7,-0.27,-0.301,-0.287,-0.315
1903,8,-0.332,-0.301,-0.287,-0.315
1903,9,-0.271,-0.301,-0.286,-0.315
1903,10,-0.292,-0.3,-0.286,-0.315
1903,11,-0.252,-0.3,-0.286,-0.314
1903,12,-0.388,-0.3,-0.286,-0.314
1921,10,-0.219,-0.237,-0.226,-0.248
1921,11,-0.218,-0.237,-0.226,-0.248
1921,12,-0.162,-0.237,-0.225,-0.248
1922,1,-0.235,-0.236,-0.225,-0.247
1922,2,-0.16,-0.236,-0.225,-0.247
1922,3,-0.192,-0.236,-0.225,-0.247
1922,4,-0.222,-0.235,-0.224,-0.247
1922,5,-0.19,-0.235,-0.224,-0.246
1922,6,-0.216,-0.235,-0.224,-0.246
1922,7,-0.224,-0.235,-0.223,-0.246
1922,8,-0.24,-0.234,-0.223,-0.245
1922,9,-0.17,-0.234,-0.223,-0.245
1922,10,-0.255,-0.234,-0.223,-0.245
1922,11,-0.233,-0.233,-0.222,-0.244
1922,12,-0.266,-0.233,-0.222,-0.244
1923,1,-0.198,-0.233,-0.222,-0.244
1923,2,-0.181,-0.233,-0.222,-0.243
1923,3,-0.271,-0.232,-0.221,-0.243
1923,4,-0.191,-0.232,-0.221,-0.243
1923,5,-0.156,-0.232,-0.221,-0.243
1923,6,-0.249,-0.231,-0.22,-0.242
1923,7,-0.239,-0.231,-0.22,-0.242
1923,8,-0.335,-0.231,-0.22,-0.242
1923,9,-0.317,-0.23,-0.22,-0.241
1923,10,-0.234,-0.23,-0.219,-0.241
1923,11,-0.2,-0.23,-0.219,-0.241
1923,12,-0.275,-0.23,-0.219,-0.24
1924,1,-0.278,-0.229,-0.218,-0.24
1924,2,-0.169,-0.229,-0.218,-0.24
1924,3,-0.21,-0.229,-0.218,-0.239
